Reaction	Condition	LB	UB	RID	System	Name	Flux
TCA7_v26	Ribose	4.159319014487577	6.559772720196803	40523	TCA	SUCDi	5.343049532194358
TCA7_v26	Glucose	1.3903905496296949	2.041615222376375	40523	TCA	SUCDi	1.7326536711891838
TCA7_v26	Glycerol	0.93094938118754	1.834829579527877	40523	TCA	SUCDi	1.3160390696475868
TCA7_v26	Glutamate	14.21045830807233	15.032471715919062	40523	TCA	SUCDi	14.529677304061236
TCA7_v26	Succinate	29.559684578743862	30.28413375926009	40523	TCA	SUCDi	29.871003583516902
TCA7_v26	Alanine	10.222582970366899	11.130129903839801	40523	TCA	SUCDi	10.656639854188501
EMP1_v1	Glucose	20.930543866242537	21.76666089642273	PTS_15903	EMP	PTS	21.341437534865726
Glc_upt	Glucose	-21.7666608964227	-20.930543866242502	EX_15903	pseudo	glucose	-21.34143753486569
AC_out	Glucose	14.81578660596443	16.168702600537827	EX_30089	pseudo	acetate	15.491586938378413
AC_out	Alanine	5.844826572731555	6.660868223261851	EX_30089	pseudo	acetate	6.314093576561764
Suc_out	Glucose	0.1757938791830477	0.1990005414308509	EX_30031	pseudo	succinate	0.1877778738314897
Glyc_upt	Glycerol	-11.93074132701803	-10.378443633569495	EX_17754	pseudo	glycerol	-11.121471409356415
For_out	Glycerol	9.055257164183129e-5	0.004340849063577013	EX_15740	pseudo	formate	0.0014695429505880728
Glu_out	Glycerol	0.1795400792740537	0.3778721250147165	EX_29985	pseudo	glutamate	0.2784981525370578
Glu_upt	Glutamate	-15.35714988792523	-14.618041763575278	EX_29985	pseudo	glutamate	-14.880663155628927
Suc_upt	Succinate	-23.93979902984342	-23.419473381854996	EX_30031	pseudo	succinate	-23.648119981037976
Fum_out	Succinate	0.49408122075021554	0.5404073760489145	EX_29806	pseudo	fumarate	0.5183838268508432
Ala_upt	Alanine	-30.926371973613954	-30.11862542610359	EX_57972	pseudo	alanine	-30.392405543832336
